路線名稱,公車代碼,方向
0東,0100000A00,去程
0南,0100000B00,去程
1,0100000100,去程
2,0100000200,去程
5,0100000500,去程
8,0400000800,去程
9,0100000900,去程
12,0100001200,去程
14,0100001400,去程
18,0100001800,去程
20,0100002000,去程
21,0100002100,去程
22,0100002200,去程
26,0100002600,去程
28,0100002800,去程
32,0100003200,去程
33,0100003300,去程
37,0100003700,去程
38,0100003800,去程
38區,0100003820,去程
39,0100003900,去程
39夜,0100003940,去程
41,0100004100,去程
42,0100004200,去程
42區,0100004220,去程
46,0100004600,去程
49,0100004900,去程
51,0400005100,去程
52,0100005200,去程
53,0100005300,去程
57,0400005700,去程
62,0400006200,去程
63,0100006300,去程
66,0100006600,去程
68,0100006800,去程
72,0100007200,去程
88,0100008800,去程
88區,0100008820,去程
99,0400009900,去程
108,0100010800,去程
108區,0100010820,去程
109,0100010900,去程
111,0100011100,去程
128,0100012800,去程
129,0100012900,去程
177瑞芳觀光公車,0400017700,去程
179,0400017900,去程
201,0400020100,去程
202,0100020200,去程
202區,0100020220,去程
203,0100020300,去程
204,0100020400,去程
205,0100020500,去程
206,0100020600,去程
207,0100020700,去程
208,0100020800,去程
208區,0100020820,去程
208直,0100020830,去程
211,0100021100,去程
212,0100021200,去程
212直,0100021230,去程
212夜,0100021240,去程
214,0100021400,去程
214直,0100021430,去程
215,0100021500,去程
216,0100021600,去程
218,0100021800,去程
218區,0100021820,去程
218直,0100021830,去程
221,0100022100,去程
222,0100022200,去程
223,0100022300,去程
224,0100022400,去程
225,0100022500,去程
225區,0100022520,去程
226,0100022600,去程
227,0100022700,去程
227區,0100022720,去程
230,0100023000,去程
231,0400023100,去程
232,0100023200,去程
232快,0100023250,去程
234,0100023400,去程
235,0100023500,去程
236區,0100023620,去程
237,0100023700,去程
240直,0100024030,去程
241,0400024100,去程
242,0400024200,去程
243,0400024300,去程
245,0400024500,去程
246,0100024600,去程
247,0100024700,去程
247區,0100024720,去程
249,0400024900,去程
250,0100025000,去程
251,0100025100,去程
251區,0100025120,去程
252,0100025200,去程
